CASEID,YEAR,REGION,STATEFIP,COUNTY,HH_SIZE,PERNUM,LINENO,WT06,AGE,SEX,RACE,HISPAN,MARST,CITIZEN,BPL,POPSTAT,EDUC,SCHLCOLL,VETSTAT,VETLAST,EMPSTAT,MULTJOBS,OCC,IND,RETIRED,FULLPART,UHRSWORKT,EARNWEEK,DIFFANY,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_GOVSERV,ACT_HHACT,ACT_HHSERV,ACT_PCARE,ACT_PHONE,ACT_PROFSERV,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_TRAVEL,ACT_VOL,ACT_WORK
2.01601E+13,2016,3,13,13015,3,1,1,24588650.16,62,2,100,100,1,1,9900,1,21,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,40,0,190,0,715,0,0,0,0,465,0,30,0,0
2.01601E+13,2016,3,51,51000,2,1,1,5445941.065,69,1,110,100,1,1,9900,1,16,99,2,999,5,99,99999,99999,1,99,9999,99999.99,2,0,0,0,30,0,230,0,620,0,0,0,0,560,0,0,0,0
2.01601E+13,2016,3,11,11001,4,1,1,8782621.982,24,2,110,100,6,1,9900,1,20,1,2,999,5,99,99999,99999,99,99,9999,99999.99,1,0,0,0,75,0,105,0,1060,0,0,60,0,20,0,60,0,0
2.01601E+13,2016,2,26,26000,4,1,1,3035909.949,31,2,100,100,4,1,9900,1,30,1,2,999,1,0,3600,8180,99,2,32,469.44,1,60,0,0,165,0,395,0,655,45,0,0,0,120,0,0,0,0
2.01601E+13,2016,2,29,29000,2,1,1,6978586.369,59,2,100,100,1,1,9900,1,21,99,2,999,1,1,2540,7860,99,2,12,302.5,1,0,0,0,30,0,250,0,580,120,0,18,60,177,0,75,130,0
2.01601E+13,2016,3,12,12086,5,1,1,5191609.866,16,2,120,244,6,5,30050,1,15,3,99,999,5,99,99999,99999,99,99,9999,99999.99,1,0,0,0,120,0,100,0,620,0,0,0,0,355,50,35,0,0
2.01601E+13,2016,1,34,34039,5,1,1,9391847.614,43,2,100,100,1,1,9900,1,40,1,2,999,5,99,99999,99999,99,99,9999,99999.99,1,330,0,0,45,0,215,0,445,0,0,100,0,120,60,125,0,0
2.01601E+13,2016,3,13,13000,4,1,1,2023918.258,34,2,100,100,5,1,9900,1,21,1,2,999,5,99,99999,99999,99,99,9999,99999.99,1,180,0,0,40,0,305,0,665,0,0,0,0,220,0,30,0,0
2.01601E+13,2016,2,39,39000,2,1,1,9112256.527,63,1,100,100,1,1,9900,1,43,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,60,0,105,0,510,0,0,0,0,695,60,10,0,0
2.01601E+13,2016,4,2,2000,4,1,1,2742446.63,39,2,100,100,1,1,9900,1,30,1,2,999,1,0,4700,5170,99,1,46,99999.99,1,50,0,0,120,0,160,0,760,0,0,60,0,240,0,30,0,20
2.01601E+13,2016,3,13,13000,4,1,1,3165768.092,35,1,100,100,1,1,9900,1,40,1,2,999,1,0,4700,5380,99,1,55,1538.46,1,287,0,0,120,0,120,0,838,0,0,0,0,75,0,0,0,0
2.01601E+13,2016,2,17,17000,4,1,1,9195339.214,54,2,100,100,6,1,9900,1,41,99,2,999,1,0,5700,6990,99,1,38,1211.53,1,40,0,0,75,0,20,15,555,0,0,0,0,65,0,190,0,480
2.01601E+13,2016,4,8,8000,1,1,1,2847324.968,40,2,100,100,6,1,9900,1,40,1,2,999,1,0,5000,9470,99,1,40,961.53,1,0,0,0,45,0,390,0,670,0,0,0,0,180,0,155,0,0
2.01601E+13,2016,3,48,48215,5,1,1,7951766.668,19,2,100,210,6,1,9900,1,21,5,2,999,5,99,99999,99999,99,99,9999,99999.99,1,0,0,655,75,0,0,0,630,0,0,0,0,60,0,20,0,0
2.01601E+13,2016,2,19,19000,2,1,1,11019699.47,76,2,100,100,1,1,9900,1,40,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,5,0,20,0,65,0,570,5,0,110,305,310,0,50,0,0
2.01601E+13,2016,2,19,19000,2,1,1,5489476.588,65,2,100,100,1,3,15000,1,31,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,120,0,0,0,590,0,0,0,60,545,0,125,0,0
2.01601E+13,2016,4,41,41039,6,1,1,9150706.475,16,1,100,100,6,1,9900,1,15,3,99,999,5,99,99999,99999,99,99,9999,99999.99,1,0,0,150,40,0,187,0,322,0,0,0,0,741,0,0,0,0
2.01601E+13,2016,4,4,4013,4,1,1,1299119.206,70,1,100,210,2,1,9900,1,30,99,1,6,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,23,0,3,0,360,0,0,0,0,1054,0,0,0,0
2.01601E+13,2016,2,26,26000,4,1,1,4994471.081,68,1,100,100,1,1,9900,1,40,99,1,7,5,99,99999,99999,1,99,9999,99999.99,2,0,0,0,0,0,0,0,481,0,0,0,0,959,0,0,0,0
2.01601E+13,2016,4,8,8059,3,1,1,3192021.02,36,2,100,100,1,1,9900,1,40,1,2,999,1,0,3255,8190,99,2,24,875,1,15,0,0,45,0,30,0,530,0,0,0,0,30,0,35,0,755
2.01601E+13,2016,2,20,20000,3,1,1,5529364.06,45,1,100,100,6,1,9900,1,21,1,2,999,1,0,7430,7980,99,1,40,610,1,0,0,0,25,0,0,0,570,0,0,0,0,829,0,16,0,0
2.01601E+13,2016,2,39,39000,1,1,1,3729021.949,50,2,100,100,6,1,9900,1,21,99,2,999,1,0,7000,8370,99,1,40,974.8,1,0,0,0,20,0,202,0,708,0,0,0,0,480,0,0,0,0
2.01601E+13,2016,3,24,24033,1,1,1,2202624.098,52,2,110,100,6,1,9900,1,43,99,2,999,1,1,2200,7870,99,1,60,1538.46,1,0,0,0,35,0,15,0,510,45,0,10,0,160,0,55,0,610
2.01601E+13,2016,1,25,25027,1,1,1,2040462.318,70,2,100,100,4,1,9900,1,40,99,2,999,4,99,99999,99999,1,99,9999,99999.99,2,0,20,0,119,0,50,0,802,10,0,0,0,329,80,30,0,0
2.01601E+13,2016,2,27,27000,1,1,1,4656346.231,26,1,100,100,6,1,9900,1,31,1,2,999,1,1,7810,4980,99,1,9995,530,1,0,0,0,0,0,210,0,535,0,0,0,75,425,0,120,0,60
2.01601E+13,2016,3,1,1003,1,1,1,9007256.315,63,1,100,100,4,1,9900,1,21,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,495,0,395,0,355,0,0,0,0,195,0,0,0,0
2.01601E+13,2016,3,45,45000,2,1,1,9558011.668,25,2,100,100,1,1,9900,1,40,1,2,999,1,0,4600,9290,99,2,15,180,1,0,0,0,30,0,235,0,585,15,0,45,60,120,0,115,0,235
2.01601E+13,2016,4,6,6087,2,1,1,6851181.461,74,2,100,100,1,1,9900,1,41,99,2,999,5,99,99999,99999,1,99,9999,99999.99,2,0,0,0,65,0,30,0,555,0,0,0,105,565,0,120,0,0
2.01601E+13,2016,2,19,19103,4,1,1,2118242.818,32,2,100,100,1,1,9900,1,40,1,2,999,1,0,50,7870,99,1,40,1250,1,190,0,0,180,0,215,0,580,0,0,120,0,105,0,50,0,0
2.01601E+13,2016,1,36,36103,2,1,1,15335835.13,65,1,100,100,1,1,9900,1,30,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,20,0,60,0,510,0,0,0,0,850,0,0,0,0
2.01601E+13,2016,4,6,6083,1,1,1,2306385.382,76,2,100,100,3,1,9900,1,32,99,2,999,5,99,99999,99999,1,99,9999,99999.99,1,0,0,0,35,0,34,0,305,0,0,0,0,1036,0,30,0,0
2.01601E+13,2016,3,12,12033,2,1,1,4058568.881,22,1,100,100,6,1,9900,1,21,1,2,999,1,0,9620,4195,99,1,40,473.6,1,0,0,0,35,0,0,0,515,0,0,0,0,495,0,75,320,0
2.01601E+13,2016,4,53,53033,4,1,1,3052714.899,43,1,100,100,1,1,9900,1,40,1,2,999,1,0,50,3380,99,1,50,2884.61,1,157,0,0,375,0,50,0,573,0,0,0,0,120,0,118,0,0
2.01601E+13,2016,3,51,51700,3,1,1,16696665.7,52,1,100,100,1,1,9900,1,30,99,2,999,1,0,6200,7790,99,1,50,1400,1,0,0,0,50,0,2,0,500,0,0,0,0,30,0,150,0,708
2.01601E+13,2016,2,19,19113,4,1,1,4105210.383,50,2,100,100,1,1,9900,1,21,99,2,999,1,0,1550,3370,99,1,40,1000,1,0,0,0,90,0,315,0,650,0,0,0,0,385,0,0,0,0
2.01601E+13,2016,4,30,30000,4,1,1,8181368.446,46,1,100,100,1,1,9900,1,40,1,2,999,1,0,4700,5275,99,1,40,99999.99,1,0,0,0,30,0,95,0,520,0,0,20,0,105,0,27,68,575
2.01601E+13,2016,3,21,21000,5,1,1,6367972.839,17,2,110,100,6,1,9900,1,17,3,2,999,1,0,4720,8680,99,2,9995,145,1,0,0,0,60,0,0,0,435,0,0,0,0,510,0,30,0,405
2.01601E+13,2016,3,22,22073,4,1,1,7153164.631,44,2,100,100,1,1,9900,1,21,1,2,999,1,0,4130,7860,99,2,30,260.76,1,65,0,0,98,0,26,0,421,0,0,38,0,377,0,76,0,339
2.01601E+13,2016,1,34,34017,1,1,1,1972378.769,76,2,110,100,3,1,9900,1,21,99,2,999,5,99,99999,99999,1,99,9999,99999.99,2,0,0,0,30,0,30,0,490,0,0,0,110,780,0,0,0,0
